"date","source","headline","url"
"February 27, 2026","ZDNet","Destroyed servers and DoS attacks: What can happen when OpenClaw AI agents interact","https://www.zdnet.com/article/how-ai-agents-create-new-disasters-when-they-interact/"
"February 27, 2026","HackRead","ClawJacked Vulnerability in OpenClaw Lets Websites Hijack AI Agents","https://hackread.com/openclaw-vulnerability-openclaw-hijack-ai-agents/"
"February 27, 2026","SecurityBrief","OpenClaw AI assistant surge sparks major security fears","https://securitybrief.com.au/story/openclaw-ai-assistant-surge-sparks-major-security-fears"
"February 26, 2026","Security Boulevard","OpenClaw Security Risk: OAuth and SaaS Identity","https://securityboulevard.com/2026/02/openclaw-security-risk-oauth-and-saas-identity/"
"February 26, 2026","The Decoder","An OpenClaw AI agent asked to delete a confidential email nuked its own mail client and called it fixed","https://the-decoder.com/an-openclaw-ai-agent-asked-to-delete-a-confidential-email-nuked-its-own-mail-client-and-called-it-fixed/"
"February 26, 2026","ZDNet","AI agents are fast, loose, and out of control, MIT study finds","https://www.zdnet.com/article/ai-agents-are-out-of-control-mit-study/"
"February 25, 2026","IAPS","Kimi Claw: Risks from Chinese-Hosted 'Always On' AI Agents","https://www.iaps.ai/research/kimi-claw-risks"
"February 25, 2026","Mint","OpenClaw: Did OpenAI just acquire a powerful new tool—or a security nightmare?","https://www.livemint.com/opinion/online-views/openclaw-openai-security-nightmare-artificial-intelligence-sam-altman-technology-ai-11771934381262.html"
"February 25, 2026","Wired","OpenClaw Users Are Allegedly Bypassing Anti-Bot Systems","https://www.wired.com/story/openclaw-users-bypass-anti-bot-systems-cloudflare-scrapling/"
"February 24, 2026","Gigazine","Following the huge success of OpenClaw, more AI agents like 'Claw' have appeared one after another, but OpenAI co-founder expressed concerns about OpenClaw's security","https://gigazine.net/gsc_news/en/20260224-claw-ai-agent-layer/"
"February 24, 2026","Fast Company","'This should terrify you': Meta Superintelligence safety director lost control of her AI agent—it deleted her emails","https://www.fastcompany.com/91497841/meta-superintelligence-lab-ai-safety-alignment-director-lost-control-of-agent-deleted-her-emails"
"February 24, 2026","Axios","The Bot Population Bomb: OpenClaw is only the Beginning","https://www.axios.com/2026/02/24/agents-openclaw-moltbook-gastown"
"February 24, 2026","Vercel.app","Show HN: Security Checklist for OpenClaw Deployments","https://get-to-know-openclaw-security-model.vercel.app/security-checklist.html"
"February 24, 2026","Ryukoku.ac.jp","OpenClaw 拷 CVE-2026-25253 膈 various","http://www.st.ryukoku.ac.jp/~kjm/security/memo/2026/02.html#20260225_openclaw"
"February 23, 2026","TechCrunch","A Meta AI security researcher said an OpenClaw agent ran amok on her inbox","https://techcrunch.com/2026/02/23/a-meta-ai-security-researcher-said-an-openclaw-agent-ran-amok-on-her-inbox/"
"February 23, 2026","TechRadar","OpenClaw should terrify anyone who thinks AI agents are ready for real responsibility","https://www.techradar.com/ai-platforms-assistants/openclaw-should-terrify-anyone-who-thinks-ai-agents-are-ready-for-real-responsibility"
"February 23, 2026","HelpNetSecurity","Fake troubleshooting tip on ClawHub leads to infostealer infection","https://www.helpnetsecurity.com/2026/02/23/clawhub-malicious-comment-infostealer/"
"February 23, 2026","CybersecurityNews","Google Suspends OpenClaw Users from Antigravity AI After OAuth Token Abuse","https://cybersecuritynews.com/google-suspends-openclaw-users/"
"February 23, 2026","Awesome Agents","An OpenClaw Agent Published a Firm's Internal Threat Intelligence to the Open Web. It Was Doing Exactly What It Was Told.","https://awesomeagents.ai/news/openclaw-agent-leaks-internal-threat-intelligence/"
"February 23, 2026","Malwarebytes","OpenClaw: What is it and can you use it safely?","https://www.malwarebytes.com/blog/news/2026/02/openclaw-what-is-it-and-can-you-use-it-safely"
"February 23, 2026","TrendMicro","Malicious OpenClaw Skills Used to Distribute Atomic MacOS Stealer","https://www.trendmicro.com/en_us/research/26/b/openclaw-skills-used-to-distribute-atomic-macos-stealer.html"
"February 23, 2026","Acronis","OpenClaw: Agentic AI in the wild — Architecture, adoption and emerging security risks","https://www.acronis.com/en/tru/posts/openclaw-agentic-ai-in-the-wild-architecture-adoption-and-emerging-security-risks/"
"February 22, 2026","CU Today","Security Experts Warn OpenClaw Could Bypass Traditional CU Cyber Defenses","https://www.cutoday.info/Fresh-Today/Security-Experts-Warn-OpenClaw-Could-Bypass-Traditional-CU-Cyber-Defenses"
"February 22, 2026","Bloomberg","OpenClaw Might Be a Security Nightmare for Sam Altman","https://www.bloomberg.com/opinion/articles/2026-02-23/openclaw-may-be-a-security-nightmare-for-openai-s-sam-altman"
"February 20, 2026","PCWorld","OpenClaw AI is going viral. Don't install it","https://www.pcworld.com/article/3064874/openclaw-ai-is-going-viral-dont-install-it.html"
"February 20, 2026","The Hacker News","Cline CLI 2.3.0 Supply Chain Attack Installed OpenClaw on Developer Systems","https://thehackernews.com/2026/02/cline-cli-230-supply-chain-attack.html"
"February 20, 2026","eSecurity Planet","Over 41% of Popular OpenClaw Skills Found to Contain Security Vulnerabilities","https://www.esecurityplanet.com/threats/over-41-of-popular-openclaw-skills-found-to-contain-security-vulnerabilities/"
"February 20, 2026","WebProNews","OpenClaw's Security Crisis: How a Promising AI Framework Became Too Dangerous for Its Own Creators to Share Freely","https://www.webpronews.com/openclaws-security-crisis-how-a-promising-ai-framework-became-too-dangerous-for-its-own-creators-to-share-freely/"
"February 19, 2026","Microsoft Threat Intelligence","Confirming a small but noticeable uptick in installations of OpenClaw initiated by Cline CLI supply chain compromise","https://x.com/MsftSecIntel/status/2024575596941263040"
"February 19, 2026","The Financial Times","OpenClaw and the privacy problems of agentic AI","https://www.ft.com/content/f9ff060d-63b0-44f4-b46e-31a5545468db"
"February 19, 2026","The Verge","The AI security nightmare is here and it looks suspiciously like lobster","https://www.theverge.com/ai-artificial-intelligence/881574/cline-openclaw-prompt-injection-hack"
"February 19, 2026","Slashdot.org","OpenClaw Security Fears Lead Meta, Other AI Firms To Restrict Its Use","https://slashdot.org/submission/17344948/openclaw-security-fears-lead-meta-other-ai-firms-to-restrict-its-use"
"February 19, 2026","CSO","Six flaws found hiding in OpenClaw's plumbing","https://www.csoonline.com/article/4134540/six-flaws-found-hiding-in-openclaws-plumbing.html"
"February 19, 2026","Security Week","OpenClaw Security Issues Continue as SecureClaw Open Source Tool Debuts","https://www.securityweek.com/openclaw-security-issues-continue-as-secureclaw-open-source-tool-debuts/"
"February 19, 2026","Institutional Investor","OpenClaw: The AI Agent Institutional Investors Need to Understand — But Shouldn't Touch","https://www.institutionalinvestor.com/article/openclaw-ai-agent-institutional-investors-need-understand-shouldnt-touch"
"February 19, 2026","Slashdot.org","OpenClaw security fears lead Meta, other AI firms to restrict its use","https://slashdot.org/firehose.pl?op=view&amp;id=180827080"
"February 19, 2026","Microsoft","Running OpenClaw safely: identity, isolation, and runtime risk","https://www.microsoft.com/en-us/security/blog/2026/02/19/running-openclaw-safely-identity-isolation-runtime-risk/"
"February 18, 2026","Endor Labs","How AI SAST Traced Data Flows to Uncover Six OpenClaw Vulnerabilities","https://www.endorlabs.com/learn/how-ai-sast-traced-data-flows-to-uncover-six-openclaw-vulnerabilities"
"February 18, 2026","Conscia","The OpenClaw security crisis","https://conscia.com/blog/the-openclaw-security-crisis/"
"February 18, 2026","Paubox","First infostealer malware caught stealing OpenClaw AI agent credentials","https://www.paubox.com/blog/first-infostealer-malware-caught-stealing-openclaw-ai-agent-credentials"
"February 18, 2026","Attack of the Fanboy","Meta bans OpenClaw over security fears, but insiders say the real risk is far worse","https://attackofthefanboy.com/tech/meta-bans-openclaw-over-security-fears-but-insiders-say-the-real-risk-is-far-worse/"
"February 18, 2026","Cybersecurity Insiders","Socket Uncovers AI Agent is Reputation Farming to Promote Paid OpenClaw Services","https://www.cybersecurity-insiders.com/socket-uncovers-ai-agent-is-reputation-farming-to-promote-paid-openclaw-services/"
"February 18, 2026","CybersecurityNews","OpenClaw AI Framework v2026.2.17 Released with Anthropic Model Support and Security Fixes","https://cybersecuritynews.com/openclaw-ai-framework-v2026-2-17/"
"February 18, 2026","CybersecurityNews","ClawHavoc Poisoned OpenClaw's ClawHub with 1,184 Malicious Skills, Enabling Data Theft and Backdoor Access","https://cybersecuritynews.com/clawhavoc-poisoned-openclaws-clawhub/"
"February 18, 2026","gbhackers.com","OpenClaw AI Log Poisoning Flaw Enables Malicious Content Injection","https://gbhackers.com/openclaw-ai-log-poisoning-flaw/"
"February 18, 2026","Help Net Security","SecureClaw: Dual stack open-source security plugin and skill for OpenClaw","https://www.helpnetsecurity.com/2026/02/18/secureclaw-open-source-security-plugin-skill-openclaw/"
"February 18, 2026","Security Boulevard","Securing OpenClaw Against ClawHavoc","https://securityboulevard.com/2026/02/securing-openclaw-againstclawhavoc/"
"February 17, 2026","Heise Online","Over 60 security vulnerabilities in AI assistant OpenClaw resolved","https://www.heise.de/en/news/Over-60-security-vulnerabilities-in-AI-assistant-OpenClaw-resolved-11179476.html"
